Ds Município;Dose;Contagem de Id Vacinacao
BORÁ;2° Dose;40
NOVA CASTILHO;2° Dose;47
MESÓPOLIS;2° Dose;62
SAGRES;2° Dose;51
PAULISTÂNIA;2° Dose;54
TRABIJU;2° Dose;51
BOREBI;2° Dose;51
URU;2° Dose;53
UNIÃO PAULISTA;2° Dose;59
DIRCE REIS;2° Dose;48
VITÓRIA BRASIL;2° Dose;62
PRACINHA;2° Dose;78
SÃO JOÃO DAS DUAS PONTES;2° Dose;51
MACEDÔNIA;2° Dose;63
ASPÁSIA;2° Dose;70
CRUZÁLIA;2° Dose;52
FERNÃO;2° Dose;58
GUARANI D'OESTE;2° Dose;56
BOM SUCESSO DE ITARARÉ;2° Dose;67
SÃO JOÃO DE IRACEMA;2° Dose;76
BALBINOS;2° Dose;67
SANTA CRUZ DA ESPERANÇA;2° Dose;72
BENTO DE ABREU;2° Dose;61
QUADRA;2° Dose;49
ZACARIAS;2° Dose;61
NANTES;2° Dose;95
JUMIRIM;2° Dose;65
ESTRELA DO NORTE;2° Dose;69
SANTANA DA PONTE PENSA;2° Dose;44
PONTES GESTAL;2° Dose;64
NOVA CANAÃ PAULISTA;2° Dose;57
ARAPEÍ;2° Dose;77
NOVAIS;2° Dose;60
SANTA CLARA D'OESTE;2° Dose;78
GABRIEL MONTEIRO;2° Dose;62
JOÃO RAMALHO;2° Dose;71
SANTA SALETE;2° Dose;82
NOVA GUATAPORANGA;2° Dose;60
EMBAÚBA;2° Dose;71
LUCIANÓPOLIS;2° Dose;61
ÓLEO;2° Dose;74
TURIÚBA;2° Dose;79
TAQUARAL;2° Dose;79
PLATINA;2° Dose;71
SABINO;2° Dose;31
DOLCINÓPOLIS;2° Dose;75
PONTALINDA;2° Dose;59
SANDOVALINA;2° Dose;94
CANAS;2° Dose;97
RUBIÁCEA;2° Dose;88
RIFAINA;2° Dose;59
MARINÓPOLIS;2° Dose;95
ÁLVARO DE CARVALHO;2° Dose;73
ESPÍRITO SANTO DO TURVO;2° Dose;91
QUEIROZ;2° Dose;98
ITAPIRAPUÃ PAULISTA;2° Dose;80
CANITAR;2° Dose;100
TAQUARIVAÍ;2° Dose;95
NOVA INDEPENDÊNCIA;2° Dose;89
PARISI;2° Dose;82
SÃO JOÃO DO PAU D'ALHO;2° Dose;81
JÚLIO MESQUITA;2° Dose;76
TEJUPÁ;2° Dose;70
CÁSSIA DOS COQUEIROS;2° Dose;94
BREJO ALEGRE;2° Dose;47
PRATÂNIA;2° Dose;95
JERIQUARA;2° Dose;86
LOURDES;2° Dose;94
PEDRINHAS PAULISTA;2° Dose;94
ALVINLÂNDIA;2° Dose;87
SUZANÁPOLIS;2° Dose;78
MARAPOAMA;2° Dose;109
BARRA DO CHAPÉU;2° Dose;80
NOVA LUZITÂNIA;2° Dose;82
AREIAS;2° Dose;132
MOTUCA;2° Dose;80
TORRE DE PEDRA;2° Dose;99
NIPOÃ;2° Dose;73
PRESIDENTE ALVES;2° Dose;85
MONÇÕES;2° Dose;104
RIBEIRÃO CORRENTE;2° Dose;112
MARABÁ PAULISTA;2° Dose;83
SANTA RITA D'OESTE;2° Dose;78
TURMALINA;2° Dose;101
ELISIÁRIO;2° Dose;99
TIMBURI;2° Dose;106
MARIÁPOLIS;2° Dose;98
CORUMBATAÍ;2° Dose;113
ITAJU;2° Dose;97
PEDRANÓPOLIS;2° Dose;102
LUTÉCIA;2° Dose;122
FLORÍNEA;2° Dose;114
MIRA ESTRELA;2° Dose;96
MOMBUCA;2° Dose;164
OSCAR BRESSANE;2° Dose;75
RUBINÉIA;2° Dose;108
SANTA MERCEDES;2° Dose;104
RIBEIRA;2° Dose;101
BARÃO DE ANTONINA;2° Dose;136
FLORA RICA;2° Dose;97
SEBASTIANÓPOLIS DO SUL;2° Dose;97
LAVRINHAS;2° Dose;97
ALTAIR;2° Dose;125
CÂNDIDO RODRIGUES;2° Dose;105
SÃO FRANCISCO;2° Dose;88
REDENÇÃO DA SERRA;2° Dose;114
UBARANA;2° Dose;108
SÃO JOSÉ DO BARREIRO;2° Dose;114
CAIABU;2° Dose;112
ONDA VERDE;2° Dose;110
CAMPOS NOVOS PAULISTA;2° Dose;109
EMILIANÓPOLIS;2° Dose;121
GASTÃO VIDIGAL;2° Dose;110
PARANAPUÃ;2° Dose;99
SANTA ERNESTINA;2° Dose;104
LUPÉRCIO;2° Dose;107
GUZOLÂNDIA;2° Dose;102
OCAUÇU;2° Dose;94
ORINDIÚVA;2° Dose;156
SANTÓPOLIS DO AGUAPEÍ;2° Dose;130
SANTO EXPEDITO;2° Dose;123
PLANALTO;2° Dose;127
ALAMBARI;2° Dose;119
JAMBEIRO;2° Dose;159
CABRÁLIA PAULISTA;2° Dose;119
PONGAÍ;2° Dose;120
NARANDIBA;2° Dose;131
ARAMINA;2° Dose;116
SARUTAIÁ;2° Dose;135
COROADOS;2° Dose;104
ARCO-ÍRIS;2° Dose;207
MAGDA;2° Dose;118
GAVIÃO PEIXOTO;2° Dose;117
IPEÚNA;2° Dose;122
SANTA LÚCIA;2° Dose;91
ITAPURA;2° Dose;129
MONTEIRO LOBATO;2° Dose;130
LUIZIÂNIA;2° Dose;112
MERIDIANO;2° Dose;126
ANHUMAS;2° Dose;129
SANTA MARIA DA SERRA;2° Dose;160
INÚBIA PAULISTA;2° Dose;135
RIBEIRÃO DOS ÍNDIOS;2° Dose;127
IARAS;2° Dose;139
RESTINGA;2° Dose;165
ADOLFO;2° Dose;167
ANHEMBI;2° Dose;115
GLICÉRIO;2° Dose;144
UBIRAJARA;2° Dose;133
FLOREAL;2° Dose;112
RIVERSUL;2° Dose;132
SALTO GRANDE;2° Dose;57
DOBRADA;2° Dose;129
RIBEIRÃO DO SUL;2° Dose;138
BORACÉIA;2° Dose;123
SALMOURÃO;2° Dose;128
NOVA CAMPINA;2° Dose;148
PAULICÉIA;2° Dose;131
ITAOCA;2° Dose;229
ANALÂNDIA;2° Dose;111
ARANDU;2° Dose;133
CORONEL MACEDO;2° Dose;134
ÁLVARES FLORENCE;2° Dose;113
MIRASSOLÂNDIA;2° Dose;167
CAMPINA DO MONTE ALEGRE;2° Dose;124
MONTE CASTELO;2° Dose;147
MURUTINGA DO SUL;2° Dose;162
SÃO PEDRO DO TURVO;2° Dose;115
SÃO JOSÉ DA BELA VISTA;2° Dose;179
CAIUÁ;2° Dose;176
BURITIZAL;2° Dose;160
RIBEIRÃO GRANDE;2° Dose;119
ESTIVA GERBI;2° Dose;154
MENDONÇA;2° Dose;235
AREIÓPOLIS;2° Dose;226
IPIGUÁ;2° Dose;134
ALTO ALEGRE;2° Dose;161
TACIBA;2° Dose;150
GUATAPARÁ;2° Dose;143
PEDRA BELA;2° Dose;137
CLEMENTINA;2° Dose;172
GUARANTÃ;2° Dose;186
PALMARES PAULISTA;2° Dose;178
COLÔMBIA;2° Dose;221
GUAIMBÊ;2° Dose;173
INDIANA;2° Dose;147
ITIRAPUÃ;2° Dose;147
LAGOINHA;2° Dose;194
POPULINA;2° Dose;168
LAVÍNIA;2° Dose;167
PARDINHO;2° Dose;138
VISTA ALEGRE DO ALTO;2° Dose;183
SILVEIRAS;2° Dose;173
TARABAI;2° Dose;191
SANTO ANTÔNIO DO PINHAL;2° Dose;189
INDIAPORÃ;2° Dose;158
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
PIACATU;2° Dose;196
BARBOSA;2° Dose;201
IACRI;2° Dose;194
APARECIDA D'OESTE;2° Dose;218
AMÉRICO DE CAMPOS;2° Dose;189
SANTA CRUZ DA CONCEIÇÃO;2° Dose;209
SANTO ANTÔNIO DO JARDIM;2° Dose;177
ALFREDO MARCONDES;2° Dose;207
RAFARD;2° Dose;207
PIQUEROBI;2° Dose;216
JABORANDI;2° Dose;209
DUMONT;2° Dose;202
TAPIRAÍ;2° Dose;180
NATIVIDADE DA SERRA;2° Dose;246
PARAÍSO;2° Dose;225
SANTO ANTÔNIO DO ARACANGUÁ;2° Dose;215
BRAÚNA;2° Dose;248
ECHAPORÃ;2° Dose;235
SALES;2° Dose;177
RINÓPOLIS;2° Dose;274
QUINTANA;2° Dose;221
TUIUTI;2° Dose;171
TRÊS FRONTEIRAS;2° Dose;186
REGINÓPOLIS;2° Dose;216
SALTINHO;2° Dose;180
PEREIRAS;2° Dose;165
SARAPUÍ;2° Dose;154
EUCLIDES DA CUNHA PAULISTA;2° Dose;215
LINDÓIA;2° Dose;208
QUELUZ;2° Dose;226
CRISTAIS PAULISTA;2° Dose;221
RIOLÂNDIA;2° Dose;202
ÁGUAS DE SÃO PEDRO;2° Dose;231
NOVA EUROPA;2° Dose;214
VARGEM;2° Dose;174
NOVA ALIANÇA;2° Dose;226
ORIENTE;2° Dose;220
IRAPUÃ;2° Dose;250
IPORANGA;2° Dose;378
SANTO ANTÔNIO DA ALEGRIA;2° Dose;211
CATIGUÁ;2° Dose;138
ITOBI;2° Dose;211
IRAPURU;2° Dose;188
ICÉM;2° Dose;243
TAIÚVA;2° Dose;262
CHAVANTES;2° Dose;236
GUAIÇARA;2° Dose;205
HERCULÂNDIA;2° Dose;210
IBIRAREMA;2° Dose;246
FERNANDO PRESTES;2° Dose;217
PIQUETE;2° Dose;249
POLONI;2° Dose;214
SANTA ALBERTINA;2° Dose;242
BOFETE;2° Dose;202
TAIAÇU;2° Dose;259
LUÍS ANTÔNIO;2° Dose;279
NUPORANGA;2° Dose;278
AVANHANDAVA;2° Dose;231
JACI;2° Dose;342
DOURADO;2° Dose;305
SERRA AZUL;2° Dose;318
SUD MENNUCCI;2° Dose;256
GÁLIA;2° Dose;307
MONTE ALEGRE DO SUL;2° Dose;231
MANDURI;2° Dose;226
COSMORAMA;2° Dose;239
AREALVA;2° Dose;253
PEDRO DE TOLEDO;2° Dose;240
IGARATÁ;2° Dose;247
CAFELÂNDIA;2° Dose;131
GUAREÍ;2° Dose;294
GETULINA;2° Dose;267
RINCÃO;2° Dose;291
ROSEIRA;2° Dose;322
SÃO LOURENÇO DA SERRA;2° Dose;214
TAGUAÍ;2° Dose;249
VALENTIM GENTIL;2° Dose;276
IEPÊ;2° Dose;298
PAULO DE FARIA;2° Dose;354
MACAUBAL;2° Dose;315
ALUMÍNIO;2° Dose;276
BOA ESPERANÇA DO SUL;2° Dose;292
AVAÍ;2° Dose;488
COLINA;2° Dose;368
OURO VERDE;2° Dose;334
ÁGUAS DA PRATA;2° Dose;264
BOCAINA;2° Dose;331
ARIRANHA;2° Dose;335
BÁLSAMO;2° Dose;367
GUARACI;2° Dose;298
SETE BARRAS;2° Dose;232
ILHA COMPRIDA;2° Dose;250
PORANGABA;2° Dose;232
SEVERÍNIA;2° Dose;351
ELIAS FAUSTO;2° Dose;282
GUARAÇAÍ;2° Dose;326
HOLAMBRA;2° Dose;302
BILAC;2° Dose;320
ITAPUÍ;2° Dose;320
CHARQUEADA;2° Dose;286
TERRA ROXA;2° Dose;303
TARUMÃ;2° Dose;321
MORUNGABA;2° Dose;301
PRADÓPOLIS;2° Dose;285
RIBEIRÃO BONITO;2° Dose;327
BURI;2° Dose;269
MINEIROS DO TIETÊ;2° Dose;276
CAJOBI;2° Dose;340
OUROESTE;2° Dose;360
CAPELA DO ALTO;2° Dose;281
ESTRELA D'OESTE;2° Dose;349
ARAÇARIGUAMA;2° Dose;310
SALESÓPOLIS;2° Dose;361
CANANÉIA;2° Dose;347
SÃO BENTO DO SAPUCAÍ;2° Dose;333
SÃO LUIZ DO PARAITINGA;2° Dose;276
IACANGA;2° Dose;295
IPUÃ;2° Dose;347
GUAPIARA;2° Dose;357
PIRAPORA DO BOM JESUS;2° Dose;377
SÃO SEBASTIÃO DA GRAMA;2° Dose;353
BANANAL;2° Dose;339
TORRINHA;2° Dose;388
RIBEIRÃO BRANCO;2° Dose;309
CEDRAL;2° Dose;462
SALES OLIVEIRA;2° Dose;347
ENGENHEIRO COELHO;2° Dose;379
